"eCode","eName","eDesc","eStatus","eClarification"
"E472d","Tartaric acid glycerol esters","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from porkl fat"
"E472e","Acetyltartaric acid glycerol esters","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Check Source of Fat if Soy or Plant Fat then halal if pork then Haraam"
"E472f","Mixed Acetic & Tartaric Acid Esters of Mono & Digl","Emulsifiers and Stabilizers - Pectin and derivatives","MUSBOOH","Check sourse of tartaric acid, glycerine, & fatty acids."
"E473","Sucrose Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E474","Sucroglycerides","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E475","Polyglycerol Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E476","Polyglycerol Esters of Polycondensed Esters of Caster Oil","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E477","Propane-1,2-Diol Esters of Fatty Acids","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"478","Lactylated Fatty Acid Esters of Glycerol and Propane-1,2-Diol","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E479b","Thermally oxidized Soya Bean Oil interacted with M","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Check source of fatty acids & glycerine"
"E481","Sodium Stearoyl-2-Lactylate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E482","Calcium Stearoyl-2-Lactylate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E483","Stearyl Tartrate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Mushbooh, Halal if it is from plant fat, Haraam if it is from pork fat"
"E491","Sorbitan Monostearate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E492","Sorbitan Tristearate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E493","Sorbitan Monolaurate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","Halal","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E494","Sorbitan Mono-oleate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E495","Sorbitan Monopalmitate","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","Halal","Halal if it is 100% from plant fat, Haraam if it is from pork fat"
"E496","Sorbitan","Emulsifiers and Stabilizers - salts or Esters of Fatty Acids","MUSBOOH","Salts or Esters of Fatty Acids. Suitable for vegetarian label indicates that only vegetable fat is used as a source"
"E500","Sodium Carbonate/Sodium Bicarbonate","Miscellaneous - Acids and Salts: Carbonates","Halal","Halal"
"E501","Potassium Carbonate","Miscellaneous - Acids and Salts: Carbonates","Halal","Halal"
"E503","Ammonium Carbonate","Miscellaneous - Acids and Salts: Carbonates","Halal","Halal"
"E504","Magnesium Carbonate","Miscellaneous - Acids and Salts: Carbonates","Halal","Halal"
"E507","Hydrochloric Acid","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E508","Potassium Chloride","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E509","Calcium Chloride","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E510","Ammonium Chloride","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E511","Magnesium Chloride","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E512","Stannous Chloride","Miscellaneous - Acids and Salts: Hydrochloric Acid and its Salts","Halal","Halal"
"E513","Sulphuric Acid","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E514","Sodium Sulphate","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E515","Potassium Sulphate","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E516","Calcium Sulphate","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E517","Ammonium Sulphate","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E518","Magnesium Sulphate","Miscellaneous - Acids and Salts: Sulphuric Acid and its Salts","Halal","Halal"
"E519","Copper (II) Sulphate","Preservative","Halal","Halal"
"E520","Aluminium Sulphate","firming agent","Halal","Halal"
"E520","Aluminium Sodium Sulphate","firming agent","Halal","Halal"
"E522","Aluminium Potassium Sulphate","Acidity regulator","Halal","Halal"
"E523","Aluminium Ammonium Sulphate","Acidity regulator","Halal","Halal"
"E524","Sodium Hydroxide","Miscellaneous - Alkalis","Halal","Halal"
"E525","Potassium Hydroxide","Miscellaneous - Alkalis","Halal","Halal"
"E526","Calcium Hydroxide","Miscellaneous - Alkalis","Halal","Halal"
"E527","Ammonium Hydroxide","Miscellaneous - Alkalis","Halal","Halal"
"E528","Magnesium Hydroxide","Miscellaneous - Alkalis","Halal","Halal"
"E529","Calcium Oxide","Miscellaneous - Alkalis","Halal","Halal"
"E530","Magnesium Oxide","Miscellaneous - Alkalis","Halal","Halal"
"E535","Sodium Ferrocyanide","Miscellaneous - other Salts","Halal","Halal"
"E536","Potassium Ferrocyanide","Miscellaneous - other Salts","Halal","Halal"
"E538","Calcium Ferrocyanide","Calcium Ferrocyanide","Halal","Halal"
"E540","Dicalcium Ferrocyanide","Miscellaneous - other Salts","Halal","Halal"
"E541","Sodium Aluminium Phosphate","Miscellaneous - other Salts","Halal","Halal"
"E542","Edible Bone Phosphate (Bone-Meal)","Miscellaneous - Anti-Caking Agents","MUSBOOH","Halal if the bones from zabiha slaughtered beef."
"E543","Calcium Sodium Polyphosphate","Miscellaneous - Anti-Caking Agents","Halal","Halal"
"E544","Calcium Polyphosphates","Miscellaneous - Anti-Caking Agents","Halal","Mushbooh, Halal if it is from minerals, Haraam if it is from pig bones"
"E545","Ammonium Polyphosphates","Miscellaneous - Anti-Caking Agents","Halal","Mushbooh, Halal if it is from minerals, Haraam if it is from pig bones"
"E550","Sodium Silicate","Miscellaneous - Anti-Caking Agents","Halal","Halal"
"E551","Silicon Dioxide (Silica Salt)","Miscellaneous - Silicon Salts","Halal","Halal"
"E552","Calcium Silicate","Miscellaneous - Silicon Salts","Halal","Halal"
"E553a","Magnesium Silicate","Miscellaneous - Silicon Salts","Halal","Halal"
"E553","Magnesium Silicate/Magnesium Trisilicate (Talc)","Miscellaneous - Silicon Salts","Halal","Halal"
"E554","Aluminium Sodium Silicate","Miscellaneous - Silicon Salts","Halal","Halal"
"E555","Pottasium Aluminium Silicate","Miscellaneous - Silicon Salts","Halal","Halal"
"E556","Aluminium Calcium Silicate","Miscellaneous - Silicon Salts","Halal","Mushbooh, Halal if calcium from mineral rocks, Haraam if calcium from pig bones"
"E558","Bentonite","Miscellaneous - other compounds","Halal","Halal"
"E559","Kaolin (Aluminium Silicate)","Miscellaneous - other compounds","Halal","Halal"
"E570","Stearic Acid","Miscellaneous - other compounds","MUSBOOH","Mushbooh,Check Source of Fat if Soy or Plamtl Fat then halal if pork then Haraam"
"E572","Magnesium Stearate","Miscellaneous - other compounds","MUSBOOH","Mushbooh,Check Source of Fat if Soy or Plamtl Fat then halal if pork then Haraam"
"E574","Gluconic Acid","Miscellaneous - other compounds","Halal","Halal"
"E575","Glucono Delta-Lactone","Miscellaneous - other compounds","Halal","Halal"
"E576","Sodium Gluconate","Miscellaneous - other compounds","Halal","Halal"
"E577","Potassium Gluconate","Miscellaneous - other compounds","Halal","Halal"
"E578","Calcium Gluconate","Miscellaneous - other compounds","Halal","Halal"
"E579","Ferrous Gluconate","Miscellaneous - other compounds","Halal","Halal"
"E585","Ferrous Lactate","Miscellaneous - other compounds","Halal","Halal"
"E586","4-Hexylresorcinol","Miscellaneous - other compounds","Halal","Halal"
"E620","L-Glutamic Acid","Miscellaneous - Flavour Enhancers","Halal","Halal if it is from plant protein, Haraam if it is from pig protein"
"E621","Monosodium Glutamate (MSG)","Miscellaneous - Flavour Enhancers","Halal","Halal if all ingredients including culture media to grow culture from Halal source, Haraam if media is from pork fat"
"E622","Monopotassium Glutamate","Miscellaneous - Flavour Enhancers","Halal","Halal if all ingredients including culture media to grow culture from Halal source, Haraam if media is from pork fat"
"E623","Calcium Glutamate","Miscellaneous - Flavour Enhancers","Halal","Halal if all ingredients including culture media to grow culture from Halal source, Haraam if media is from pork fat"
"E624","Monoammonium Glutamate","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E625","Magnesium Diglutamate","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E625","Guanylic acid","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E627","Sodium Guanylate","Miscellaneous - Flavour Enhancers","Halal","Halal if it is obtained from sardines or baker's yeast extract. Mushbooh if it is made from brewer yeast extract, a by-product of beer making"
"E628","Dipotassium Guanylate","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E629","Calcium Guanylate","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E630","Inosinic Acid","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Inosinic acid is obtained from it then it is Halal otherwise it is not Halal"
"E631","Sodium 5-Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","In Several countries if it is obtained from non alcoholic fermantation by bacteria on sugar or from sugarcane itself then it is Halal but if it is obtained from Torula yeast grown on alcohol then disodium Inosinate is not Halal."
"E632","Sodium 5-Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","A flavor enhancer, IMP or inosine monophosphate is a nucleotide commercially obtained from Torula Yeast. Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Inosinic acid is obtained from it then it is Halal otherwise it is not Halal."
"E633","Calcium Inosinate","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Sodium Inosinate is obtained from it then it is Halal otherwise it is not Halal."
"E634","Calcium 5-ribonucleotides","Miscellaneous - Flavour Enhancers","MUSBOOH","Torula yeast is grown on alcohol In Several countries to obtain Nucleotide which is mostly used in infant baby formula. In Several countries if Torula yeast grown on sugar cane and Calcium5-Ribonucleotide is obtained from it then it is Halal otherwise it is not Halal."
"E635","Sodium5-Ribonucleotide","Miscellaneous - Flavour Enhancers","MUSBOOH","Mushbooh, it is a combination of E N 627 and EN 631"
"E636","Maltol","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E637","Ethyl Maltol","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E640","Glycine & its Sodium Salt","Miscellaneous - Flavour Enhancers","MUSBOOH","Check Source of Glycin how is obtained"
"E650","Zinc Acetate","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E900","Dimethylpolysiloxane","Miscellaneous - Flavour Enhancers","Halal","Halal"
"E901","Beeswax","Miscellaneous - Glazing Agents","Halal","Halal"
"E902","Candelilla Wax","Miscellaneous - Glazing Agents","Halal","Halal"
"E903","Carnauba Wax","Miscellaneous - Glazing Agents","Halal","Halal"
"E904","Shellac","Miscellaneous - Glazing Agents","Halal","Halal if no if it is not treated with alcohol, two types of shellac is available, the Halal type is not treated with alcohol but other type is treated with alcohol. A gummy secretion material from the pores of a insect Coccus lacca that feed on Palas trees in India and South Asia. This gummy material is called Lac. Manufactured by Indian companies."
"E905","Mineral Hydrocarbons","Miscellaneous - Glazing Agents","Halal","Halal"
"E905a","Mineral Oil","Miscellaneous - Glazing Agents","Halal","Halal"
"E906","Gum Benzoic","Miscellaneous - Glazing Agents","Halal","Halal"
"E907","Refined Microcrystalline Wax","Miscellaneous - Glazing Agents","Halal","Mushbooh, Halal if obtained from plant fat wax. Haraam if it is obtained from pork fat wax"
"E908","Rice Bran Wax","Miscellaneous - Glazing Agents","Halal","Halal"
"E910","L-Cysteine","Miscellaneous - Glazing Agents","MUSBOOH","Check Source: Human hair; feathers; or synthetic"
"E912","Montanic acid esters","Miscellaneous - Glazing Agents","Halal","Halal"
"E913","Lanolin","Miscellaneous - Glazing Agents","Halal","Halal"
"E914","Oxidised Polyethylene Wax","Miscellaneous - Glazing Agents","Halal","Halal"
"E915","Esters of Colophony","Miscellaneous - Glazing Agents","MUSBOOH","Check source of these fats"
"E920","L-Cysteine Hydrochloride","Miscellaneous - Compounds used to treat Flour","MUSBOOH","Check Source: animal or human hair; chicken feathers; or synthetic."
"E921","L-Cystine","Improving agent","MUSBOOH","Check Source: Human hair; feathers; or synthetic"
"E922","Potassium Persulphate","Improving agent","Halal","Halal"
"E923","Ammonium Persulphate","Improving agent","Halal","Halal"
"E924","Potassium Bromate","Miscellaneous - Compounds used to treat Flour","Halal","Halal"
"E925","Chlorine","Miscellaneous - Compounds used to treat Flour","Halal","Halal"
"E926","Chlorine Dioxide","Miscellaneous - Compounds used to treat Flour","Halal","Halal"
"E927","Azodicarbonamide","Miscellaneous - Compounds used to treat Flour","Halal","Halal"
"E927b","Carbamide","Improving agent","Halal","Halal"
"E928","Benzoyl Peroxide","Bleach","Halal","Halal"
"E930","Calcium Peroxide","Bleach","Halal","Halal"
"E938","Argon","Packing gas","Halal","Halal"
"E939","Helium","Packing gas","Halal","Halal"
"E940","Dichlorodifluoromethane","Packing gas","Halal","Halal"
"E941","Nitrogen","Propellant","Halal","Halal"
"E942","Nitrous Oxide","Propellant","Halal","Halal"
"E943a","Butane","Propellant","Halal","Halal"
"E943b","Isobutane","Propellant","Halal","Halal"
"E944","Propane","Propellant","Halal","Halal"
"E948","Oxygen","Packing gas","Halal","Halal"
"E949","Hydrogen","Packing gas","Halal","Halal"
"E950","Acesulfame K","Sweetner","Halal","Halal"
"E951","Aspartame","Sweetner","Halal","Halal"
"E952(i)","Cylamic Acid","Sweetner","Halal","Halal"
"E952(iiii)","Calcium Cyclamate","Sweetner","Halal","Halal"
"E953","Isomalt","Sweetner","Halal","Halal"
"E954","Saccharin and its Salts","Sweetner","Halal","Halal"
"E955","Sucralose","Sweetner","Halal","Halal"
"E957","Thaumatin","Sweetner","Halal","Halal"
"E959","Neohesperidine DihydroChalcone","Flavour Enhancer","Halal","Halal"
"E962","Salt of Aspartame-Acesulfame","","Halal","Halal"
"E965","Maltitol","Stablizer","Halal","Halal"
"E965{ii}","Maltitol Syrup","Sweetner","Halal","Halal"
"E966","Lactitol","Sweetner","Halal","Halal"
"E967","Xylitol","Sweetner","Halal","Halal"
"E968","Erythritol","Sweetner","Halal","Halal"
"E999","Quillaia Extract","Foaming Agent","Halal","Check Source Soap bark tree but extract is extracted with alcohol."
"E1000","Cholic Acid","Emulsifier","MUSBOOH","Musbooh"
"E1100","Amylase","Stablizer","Halal","Halal"
"E1101","Protease","Stablizer","MUSBOOH","Can by obtained from animal or plant. A Green Dot on the package of food product in India indicate it is from plant"
"E1103","Invertase","Stablizer","Halal","Halal"
"E1105","Lysozyme","Preservative","Halal","Halal"
"E1200","Polydextrose","Stablizer","Halal","Halal"
"E1201","Polyvinylpyrrolidone","Stablizer","Halal","Halal"
"E1202","Polyvinylpolypyrrolidone","Stablizer","Halal","Halal"
"E1203","Monostarch Phosphate","Stablizer","Halal","Halal"
"E1400","Dextrin","Thickening Agent","Halal","Halal"
"E1401","Modified Starch","Thickening Agent","Halal","Halal"
"E1402","Alkaline Modified Starch","Thickening Agent","Halal","Halal"
"E1403","Bleached Starch","Thickening Agent","Halal","Halal"
"E1404","Oxidised Starch","Thickening Agent","Halal","Halal"
"E1405","Enzyme Treated Starch","Starch","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1410","Phosphate","Thickening Agent","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1412","Distarch Phosphate","Thickening Agent","MUSBOOH","Check Source of Phosphate in Several countries is also obtained from animal bones. Veg Sign on food package indicates that it is obtained from from mineral."""
"E1413","Phoshated Distarch Phosphate","Thickening Agent","Halal","Halal"
"E1414","Acetylated Distarch Phosphate","Thickening Agent","Halal","Halal"
"E1420","Acetylated Starch","Thickening Agent","Halal","Halal"
"E1421","Acetylated Starch","Thickening Agent","Halal","Halal"
"E1422","Acetylated Distarch Adipate","Thickening Agent","Halal","Halal"
"E1423","Acetylated Distarch Glycerol","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1430","Distarch Glycerine","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1440","Hydroxypropyl Starch","Thickening Agent","Halal","Halal"
"E1441","Hydroxy Propyl Distarch Glycerine","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1442","Hydroxypropyl Distarch Phosphate","Thickening Agent","Halal","Halal"
"E1443","Hydroxy Propyl Starch Glycerol","Thickening Agent","MUSBOOH","Check source of glycerine."
"E1450","Starch Sodium Octenyl Succinate","Thickening Agent","Halal","Halal"
"E1451","Acetylated Oxidised Starch","Thickening Agent","Halal","Halal"
"E1505","Triethyl Citrate","Foaming Agent","Halal","Halal"
"E1510","Ethanol","Additional Chemical","MUSBOOH","Chemical synthesis. Synthetic product is accepted as a carrier in quantities less than 0.5%"
"E1517","Diacetate","Flavour Solvent","MUSBOOH","Check source of Glyceryl"
"E1518","Glyceryl Triacetate","Flavour Solvent","MUSBOOH","Check source of Glyceryl"
"E1519","Benzyl Alcohol","Hemuctant","Halal","Halal"
